City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
163,San Juan,AR,2020-02-22 21:46:14,-31.54,-68.54,82.94,25,0,7.07,clear sky,0.0,0.0
164,Buala,SB,2020-02-22 21:50:41,-8.14,159.59,81.03,80,2,3.71,light rain,2.25,0.0
165,Coos Bay,US,2020-02-22 21:50:41,43.37,-124.22,57.99,66,1,9.17,clear sky,0.0,0.0
166,Bluefields,NI,2020-02-22 21:50:42,12.01,-83.76,84.2,74,20,6.93,few clouds,0.0,0.0
167,Mayo,US,2020-02-22 21:45:07,38.89,-76.51,55.0,27,1,8.05,clear sky,0.0,0.0
168,Vaini,TO,2020-02-22 21:50:42,-21.2,-175.2,80.6,88,75,9.17,light intensity shower rain,0.0,0.0
169,Codrington,AU,2020-02-22 21:49:12,-38.27,141.97,58.05,77,0,7.23,clear sky,0.0,0.0
170,Alyangula,AU,2020-02-22 21:50:42,-13.85,136.42,77.0,100,75,5.82,shower rain,0.0,0.0
171,Nuuk,GL,2020-02-22 21:44:46,64.18,-51.72,14.0,72,90,16.11,shower rain,0.0,0.0
172,Tocopilla,CL,2020-02-22 21:50:43,-22.09,-70.2,71.22,56,94,9.93,overcast clouds,0.0,0.0
173,Bestobe,KZ,2020-02-22 21:50:43,52.5,73.1,17.55,93,31,8.3,scattered clouds,0.0,0.0
174,Lompoc,US,2020-02-22 21:43:44,34.64,-120.46,63.0,55,90,10.29,overcast clouds,0.0,0.0
175,Kodiak,US,2020-02-22 21:43:50,57.79,-152.41,21.2,53,1,10.29,clear sky,0.0,0.0
176,Smoky Lake,CA,2020-02-22 21:50:43,54.12,-112.47,31.39,75,32,14.43,scattered clouds,0.0,0.0
177,Inhambane,MZ,2020-02-22 21:43:58,-23.86,35.38,81.41,78,0,6.17,clear sky,0.0,0.0
178,Damghan,IR,2020-02-22 21:50:44,36.17,54.35,48.76,64,0,4.41,clear sky,0.0,0.0
179,Canto Do Buriti,BR,2020-02-22 21:50:44,-8.11,-42.94,80.02,76,90,1.61,overcast clouds,0.0,0.0
180,Hami,CN,2020-02-22 21:45:03,42.8,93.45,29.79,53,9,4.85,clear sky,0.0,0.0
181,Carnarvon,AU,2020-02-22 21:50:44,-24.87,113.63,75.2,83,40,5.82,scattered clouds,0.0,0.0
182,Narsaq,GL,2020-02-22 21:44:32,60.92,-46.05,21.2,37,100,18.34,overcast clouds,0.0,0.0
183,Muros,ES,2020-02-22 21:44:31,42.78,-9.06,57.99,100,90,4.7,fog,0.0,0.0
184,Gat,IL,2020-02-22 21:45:19,31.61,34.76,54.0,87,75,3.36,broken clouds,0.0,0.0
185,Leshukonskoye,RU,2020-02-22 21:45:13,64.9,45.76,33.04,82,100,16.71,overcast clouds,0.0,0.0
186,Sabang,ID,2020-02-22 21:47:46,5.89,95.32,82.15,77,23,23.76,light rain,0.31,0.0
187,Sitka,US,2020-02-22 21:44:24,57.05,-135.33,37.4,80,75,10.29,broken clouds,0.0,0.0
188,Nouadhibou,MR,2020-02-22 21:44:02,20.93,-17.03,62.6,82,13,17.22,few clouds,0.0,0.0
189,Ust-Kuyga,RU,2020-02-22 21:50:46,70.02,135.6,-13.22,100,83,1.68,broken clouds,0.0,0.0
190,Palmer,US,2020-02-22 21:45:21,42.16,-72.33,46.99,26,20,10.29,few clouds,0.0,0.0
191,Nikolskoye,RU,2020-02-22 21:46:59,59.7,30.79,34.0,93,90,13.42,shower sleet,0.0,0.0
192,Makakilo City,US,2020-02-22 21:44:49,21.35,-158.09,78.8,57,75,11.41,shower rain,0.0,0.0
193,Longyearbyen,SJ,2020-02-22 21:48:14,78.22,15.64,-0.4,70,20,12.75,few clouds,0.0,0.0
194,Vila Velha,BR,2020-02-22 21:46:03,-20.33,-40.29,78.8,88,90,6.93,overcast clouds,0.0,0.0
195,Shreveport,US,2020-02-22 21:50:47,32.53,-93.75,57.99,33,1,5.82,clear sky,0.0,0.0
196,Fortuna,US,2020-02-22 21:43:59,40.6,-124.16,61.0,87,40,5.82,scattered clouds,0.0,0.0
197,Souillac,MU,2020-02-22 21:50:47,-20.52,57.52,77.0,88,75,3.36,broken clouds,0.0,0.0
198,Provideniya,RU,2020-02-22 21:42:13,64.38,-173.3,-14.6,87,18,2.73,few clouds,0.0,0.0
199,Geraldton,AU,2020-02-22 21:46:37,-28.77,114.6,69.8,88,0,8.05,clear sky,0.0,0.0
200,Davila,PH,2020-02-22 21:50:48,18.47,120.58,60.8,87,20,2.24,few clouds,0.0,0.0
201,San Ignacio,BZ,2020-02-22 21:50:48,17.16,-89.07,82.0,69,75,4.7,broken clouds,0.0,0.0
202,Bubaque,GW,2020-02-22 21:44:45,11.28,-15.83,79.5,71,100,19.66,overcast clouds,0.0,0.0
203,Bredasdorp,ZA,2020-02-22 21:50:49,-34.53,20.04,64.4,68,93,6.93,overcast clouds,0.0,0.0
204,Port Macquarie,AU,2020-02-22 21:44:47,-31.43,152.92,68.0,100,75,3.36,broken clouds,0.0,0.0
205,Rio Verde De Mato Grosso,BR,2020-02-22 21:50:49,-18.92,-54.84,70.47,97,100,2.59,light rain,2.0,0.0
206,Betioky,MG,2020-02-22 21:50:49,-23.72,44.38,76.3,87,29,1.97,moderate rain,7.31,0.0
207,Saint-Remi,CA,2020-02-22 21:50:49,45.27,-73.62,39.2,55,1,8.05,clear sky,0.0,0.0
208,Georgetown,MY,2020-02-22 21:50:28,5.41,100.34,80.6,78,20,2.24,few clouds,0.0,0.0
209,Viedma,AR,2020-02-22 21:50:50,-40.81,-63.0,78.15,26,0,1.1,clear sky,0.0,0.0
210,San Patricio,MX,2020-02-22 21:46:50,19.22,-104.7,82.4,74,20,11.41,few clouds,0.0,0.0
211,Sioux Lookout,CA,2020-02-22 21:50:50,50.1,-91.92,41.0,41,75,5.82,broken clouds,0.0,0.0
212,Morgan City,US,2020-02-22 21:50:50,29.7,-91.21,63.0,51,20,8.05,few clouds,0.0,0.0
213,Ixtapa,MX,2020-02-22 21:44:47,20.7,-105.2,84.2,62,5,9.17,clear sky,0.0,0.0
214,Fare,PF,2020-02-22 21:50:51,-16.7,-151.02,82.36,73,22,9.53,light rain,0.56,0.0
215,Bambanglipuro,ID,2020-02-22 21:44:44,-7.95,110.28,74.84,91,29,1.79,light rain,1.0,0.0
216,Uyuni,BO,2020-02-22 21:46:42,-20.46,-66.83,61.86,41,86,5.57,overcast clouds,0.0,0.0
217,Izumo,JP,2020-02-22 21:50:51,35.37,132.77,44.6,56,75,10.29,broken clouds,0.0,0.0
218,Komsomolskiy,UZ,2020-02-22 21:44:14,40.43,71.72,44.6,86,87,6.93,mist,0.0,0.0
219,Aras,ES,2020-02-22 21:50:52,42.56,-2.36,48.0,86,9,6.93,clear sky,0.0,0.0
220,Gawler,AU,2020-02-22 21:50:52,-34.6,138.73,73.0,62,0,3.36,clear sky,0.0,0.0
221,Nanzhang,CN,2020-02-22 21:50:52,31.78,111.84,50.67,66,52,2.21,broken clouds,0.0,0.0
222,Mount Gambier,AU,2020-02-22 21:43:41,-37.83,140.77,50.0,100,3,3.33,clear sky,0.0,0.0
223,Quelimane,MZ,2020-02-22 21:44:01,-17.88,36.89,78.57,78,58,3.6,broken clouds,0.0,0.0
224,Srednekolymsk,RU,2020-02-22 21:42:35,67.45,153.68,-27.51,100,95,1.21,overcast clouds,0.0,0.0
225,Camabatela,AO,2020-02-22 21:50:53,-8.19,15.38,66.27,97,100,3.58,light rain,2.13,0.0
226,Chicama,PE,2020-02-22 21:50:53,-7.84,-79.15,73.4,88,73,11.41,haze,0.0,0.0
227,Kropotkin,RU,2020-02-22 21:50:53,45.44,40.58,42.67,88,100,4.63,overcast clouds,0.0,0.0
228,Pangkalanbuun,ID,2020-02-22 21:50:53,-2.68,111.62,73.2,98,51,1.63,light rain,0.31,0.0
229,Pisco,PE,2020-02-22 21:45:16,-13.7,-76.22,77.0,30,20,11.41,few clouds,0.0,0.0
230,Beloha,MG,2020-02-22 21:45:03,-25.17,45.05,77.22,81,3,9.06,clear sky,0.0,0.0
231,Bilma,NE,2020-02-22 21:45:14,18.69,12.92,71.37,14,100,13.78,overcast clouds,0.0,0.0
232,Pangnirtung,CA,2020-02-22 21:44:17,66.15,-65.71,-32.06,97,20,2.48,few clouds,0.0,0.0
