City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Bandarbeyla,SO,2020-02-21 23:40:28,9.49,50.81,76.78,73,0,11.03
125,Nikolskoye,RU,2020-02-21 23:38:06,59.7,30.79,39.2,83,90,8.95
126,Kenai,US,2020-02-21 23:40:28,60.55,-151.26,26.01,79,90,10.29
127,Bathsheba,BB,2020-02-21 23:38:26,13.22,-59.52,78.8,69,40,10.29
128,Athabasca,CA,2020-02-21 23:40:29,54.72,-113.29,34.74,83,87,10.36
129,Galesong,ID,2020-02-21 23:40:29,-5.32,119.37,77.0,94,20,5.82
130,Upernavik,GL,2020-02-21 23:37:39,72.79,-56.15,-12.28,96,97,0.89
131,Butaritari,KI,2020-02-21 23:40:29,3.07,172.79,83.73,72,100,7.56
132,Narsaq,GL,2020-02-21 23:40:29,60.92,-46.05,21.2,67,60,2.24
133,Sioux Lookout,CA,2020-02-21 23:40:30,50.1,-91.92,35.6,47,20,6.93
134,Fortuna,US,2020-02-21 23:40:30,40.6,-124.16,54.0,81,1,12.75
135,Melfi,IT,2020-02-21 23:40:30,41.0,15.65,42.8,93,20,6.93
136,Hun,LY,2020-02-21 23:40:30,29.13,15.95,51.6,69,0,3.06
137,Cuyo,PH,2020-02-21 23:40:31,10.85,121.01,78.51,79,21,30.69
138,Georgetown,MY,2020-02-21 23:38:55,5.41,100.34,80.6,83,20,3.36
139,San Cristobal,VE,2020-02-21 23:40:31,7.77,-72.22,84.2,66,40,6.93
140,Rocha,UY,2020-02-21 23:40:31,-34.48,-54.33,56.41,72,96,9.86
141,Anadyr,RU,2020-02-21 23:40:31,64.75,177.48,-14.01,75,1,15.66
142,Oksfjord,NO,2020-02-21 23:40:32,70.24,22.35,35.6,69,75,24.16
143,Hunterville,NZ,2020-02-21 23:40:32,-39.93,175.57,68.0,81,100,5.01
144,Gizo,SB,2020-02-21 23:40:32,-8.1,156.84,81.39,78,60,5.7
145,Ust-Kut,RU,2020-02-21 23:40:32,56.79,105.77,17.26,96,100,4.97
146,Padang,ID,2020-02-21 23:40:32,-0.95,100.35,70.02,82,71,7.99
147,Palauig,PH,2020-02-21 23:40:32,15.44,119.9,74.1,55,0,3.87
148,Lima,PE,2020-02-21 23:38:48,-12.04,-77.03,80.6,65,100,10.29
149,Bongandanga,CD,2020-02-21 23:40:33,1.5,21.05,74.89,72,62,2.28
150,Bilma,NE,2020-02-21 23:40:33,18.69,12.92,65.91,15,98,12.53
151,Longyearbyen,SJ,2020-02-21 23:40:33,78.22,15.64,1.4,64,20,13.87
152,Hithadhoo,MV,2020-02-21 23:37:34,-0.6,73.08,82.62,78,72,8.84
153,Bethel,US,2020-02-21 23:40:34,41.37,-73.41,33.01,30,1,4.54
154,Akyab,MM,2020-02-21 23:40:34,20.15,92.9,66.29,52,0,7.72
155,Kizukuri,JP,2020-02-21 23:40:34,40.81,140.39,37.99,73,75,1.12
156,Den Helder,NL,2020-02-21 23:40:34,52.96,4.76,48.99,81,75,40.26
157,Luderitz,NA,2020-02-21 23:38:19,-26.65,15.16,66.2,82,31,16.11
158,Samfya,ZM,2020-02-21 23:40:35,-11.36,29.56,67.48,95,99,3.56
159,Sayat,TM,2020-02-21 23:40:35,38.78,63.88,46.4,81,90,6.93
160,Marienburg,PL,2020-02-21 23:40:35,54.04,19.03,41.0,80,58,16.11
161,Dunmore Town,BS,2020-02-21 23:40:35,25.5,-76.65,74.43,82,16,20.33
162,Petropavlovsk-Kamchatskiy,RU,2020-02-21 23:40:36,53.05,158.65,5.0,54,30,4.47
163,Portland,US,2020-02-21 23:39:48,45.52,-122.68,59.0,35,40,3.36
164,Alice Springs,AU,2020-02-21 23:36:17,-23.7,133.88,77.0,21,0,13.87
165,Half Moon Bay,US,2020-02-21 23:40:37,37.46,-122.43,72.0,36,75,3.36
166,Segou,ML,2020-02-21 23:40:37,13.43,-6.22,79.29,11,32,10.45
167,Vila Velha,BR,2020-02-21 23:37:23,-20.33,-40.29,80.6,83,75,12.75
168,Kungurtug,RU,2020-02-21 23:37:51,50.6,97.52,5.09,79,98,1.7
169,Tochio,JP,2020-02-21 23:40:38,37.47,139.0,42.8,75,75,4.7
