City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
481,Lira,UG,76.1,overcast clouds,2.23,32.91,ST Lira Hotel Limited
485,Hambantota,LK,79.12,overcast clouds,6.12,81.12,Bungalow 63
486,Tanete,ID,80.26,overcast clouds,-3.94,119.78,Wisma Tri Multi
497,San Joaquin,VE,73.65,broken clouds,10.26,-67.79,"Rancho (Hacienda) ""La Quinta"""
500,Salinopolis,BR,81.79,clear sky,-0.61,-47.36,Hotel Salinópolis
501,Isangel,VU,84.2,broken clouds,-19.55,169.27,Volcano Sea View Tree House
506,Mareeba,AU,80.6,light intensity shower rain,-17.0,145.43,Trinity Plains Tourist Park
508,Waingapu,ID,83.57,broken clouds,-9.66,120.26,Pondok Wisata Elim
511,Liwale,TZ,72.55,overcast clouds,-9.77,37.93,Samoma Lodge
515,Olinda,BR,84.2,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
517,Hobyo,SO,76.05,overcast clouds,5.35,48.53,
523,Daru,PG,86.27,overcast clouds,-9.08,143.21,New century hotel
528,Victor Harbor,AU,82.99,scattered clouds,-35.57,138.62,Apollon Motor Inn
529,Maumere,ID,80.38,scattered clouds,-8.62,122.21,Sylvia Hotel
530,Geraldton,AU,73.4,scattered clouds,-28.77,114.6,Broadwater Mariner Resort
531,Bairiki,KI,87.8,scattered clouds,1.33,172.98,Tarawa Boutique Hotel
532,Bubaque,GW,78.8,few clouds,11.28,-15.83,Casa Dora
536,Calawag,PH,79.05,broken clouds,10.67,119.57,
540,Bonthe,SL,79.61,scattered clouds,7.53,-12.51,Bonthe Holiday Village
541,Owando,CG,75.31,overcast clouds,-0.48,15.9,Exaunel Hotel Owando
543,Los Llanos De Aridane,ES,73.0,haze,28.66,-17.92,Valle Aridane
547,Pathein,MM,74.95,scattered clouds,16.78,94.73,Pathein Hotel
548,Mutis,CO,80.29,broken clouds,6.23,-77.4,Paraiso Escondido
549,Perth,AU,75.99,broken clouds,-31.93,115.83,Rendezvous Hotel Perth Central
553,Cosala,MX,77.0,clear sky,24.41,-106.69,Hotel Real del Conde
556,Winneba,GH,80.78,few clouds,5.35,-0.62,Windy Lodge Beach Resort
561,Paramonga,PE,72.59,scattered clouds,-10.67,-77.83,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
